Name,Address,Type,Company,Released,Blockchain,Category,Subcategory,Attributes,Description,MM/YYYY,MM,YY
BoredApeYachtClub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,NFT,0,04/2021,0,0.0,0.0,"['Animal', ' Ape', ' Cartoon', ' Membership', ' Metaverse', ' Yacht']","The Bored Ape Yacht Club is a collection of 10,000 unique Bored Ape NFTs",04/2021,04,2021
CRYPTOPUNKS,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,NFT,0,06/2017,0,0.0,0.0,"['Cartoon', ' Collectable', '  Pixelated']","CryptoPunks launched as a fixed set of 10,000 items in mid -2017 and became one of the inspirations for the ERC-721 standard",06/2017,06,2017
MutantApeYachtClub,0x60E4d786628Fea6478F785A6d7e704777c86a7c6,NFT,0,08/2021,0,0.0,0.0,"['Animal', ' Ape', ' Mutant', ' Membership', ' Yacht', ' Metaverse']","The MUTANT APE YACHT CLUB is a collection of up to 20,000 Mutant Apes that can only be created by exposing an existing Bored Ape to a vial of MUTANT SERUM or by minting a Mutant Ape in the public sale",08/2021,08,2021
Decentraland,0xF87E31492Faf9A91B02Ee0dEAAd50d51d56D5d4d,NFT,1,02/2020,0,1.0,1.0,"['Virual Land', ' Parcel', ' Land Asset', ' Virtual World', ' Metaverse']","Decentraland is an Ethereum blockchain-powered virtual world, developed and owned by its users, who can create, experience, and monetize content and applications",02/2020,02,2020
ArtBlocks,0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270,NFT,2,07/2021,0,0.0,2.0,"['Artwork', ' Tiles', ' Abstact', ' Unique', ' Collectible', ' TileDAO', ' Virtual Art']",There is one Tile generated for every possible ETH wallet address each representing a unique identity in the decentralized ecosystem,07/2021,07,2021
Sandbox,0x5CC5B05a8A13E3fBDB0BB9FcCd98D38e50F90c38,NFT,3,11/2021,0,1.0,1.0,"['Virtual Land', ' Gaming', ' Voxel', ' Pixelated']",The Sandbox is a community driven platform where creators can monetize voxel assets and gaming experiences on the blockchain,11/2021,11,2021
CloneX,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,NFT,4,11/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Takashi Murakami', ' Next-Gen', ' Futuristic']","20,000 next-gen Avatars, by RTFKT and Takashi Murakami",11/2021,11,2021
Azuki,0xed5af388653567af2f388e6224dc7c4b3241c544,NFT,5,01/2022,0,0.0,0.0,"['Cartoon', ' Membership', ' Metaverse', ' Anime', ' Collectible']","Azuki starts with a collection of 10,000 avatars that give you membership access to The Garden: a corner of the internet where artists, builders, and web3 enthusiasts meet to create a decentralized future",01/2022,01,2022
Meebits,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,NFT,0,05/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Voxel', ' Characters', ' Pixelated']","The Meebits are 20,000 unique 3D voxel characters, created by a custom generative algorithm, then registered on the Ethereum blockchain",05/2021,05,2021
Doodles,0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,NFT,6,10/2021,0,0.0,0.0,"['Cartoon', ' Collectible', ' Burnt Toast', ' Exclusive', ' Community']","A community-driven collectibles project featuring art by Burnt Toast. Doodles come in a joyful range of colors, traits and sizes with a collection size of 10,000",10/2021,10,2021
Rarible,0x60F80121C31A0d46B5279700f9DF786054aa5eE5,NFT,7,01/2020,0,,,,Create and sell digital collectibles secured with blockchain technology,01/2020,01,2020
SuperRare,0xb932a70A57673d89f4acfFBE830E8ed7f75Fb9e0,NFT,8,04/2018,0,,,,"SuperRare makes it easy to create, sell, and collect rare digital art. SuperRare's smart contract platform allows artists to release limited-edition digital artwork tracked on the blockchain, making the pieces rare, verified, and collectible",04/2018,04,2018
CoolCats,0x1a92f7381b9f03921564a437210bb9396471050c,NFT,9,07/2021,0,0.0,0.0,"['Cartoon', ' Animal', ' Collectible', ' Cat']","Cool Cats is a collection of 9,999 randomly generated and stylistically curated NFTs that exist on the Ethereum Blockchain",07/2021,07,2021
CryptoKitties,0x06012c8cf97BEaD5deAe237070F9587f8E7A266d,NFT,10,11/2017,0,2.0,0.0,"['Cartoon', ' Animal', ' Collectible', ' Cat', ' Game', ' Kitties']","CryptoKitties is a game centered around breedable, collectible, and oh-so-adorable creatures we call CryptoKitties",11/2017,11,2017
WorldOfWomen,0xe785e82358879f061bc3dcac6f0444462d4b5330,NFT,11,07/2021,0,0.0,0.0,"['Cartoon', ' Women', ' Community', ' Collectible', ' Diversity', ' Woman']","A community celebrating representation, inclusivity, and equal opportunities for all. United by a first-of-its-kind collection, featuring 10,000 artworks of diverse and powerful women",07/2021,07,2021
HAPEPrime,0x4db1f25d3d98600140dfc18deb7515be5bd293af,NFT,12,01/2022,0,0.0,0.0,"['Cartoon', ' Animal', ' Ape', ' Fashion', ' Multiverse', ' Digimental', ' High Fashion']","Unique, fully 3D and built to unite the ape multiverse",01/2022,01,2022
BoredApeKennelClub,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,NFT,0,06/2021,0,0.0,0.0,"['Cartoon', ' Animal', ' Dog', ' Shiba Inu', ' Exclusive']","There are 10,000 total Bored Ape Kennel Club NFTs. Each BAKC dog is stored as an ERC-721 token on the Ethereum blockchain and hosted on IPFS. Every dog in the kennel club is unique and programmatically-generated from over 170 possible traits",06/2021,06,2021
Loot,0xFF9C1b15B16263C61d017ee9F65C50e4AE0113D7,NFT,13,08/2021,0,2.0,3.0,"['Card', ' Collectible', ' Game', ' Gear', ' Adventure Gear']",Loot is randomized adventurer gear generated and stored on chain,08/2021,08,2021
ParallelAlpha,0x76BE3b62873462d2142405439777e971754E8E77,NFT,14,07/2021,0,0.0,3.0,"['Card', ' Sci-fi', ' Collectible', ' Game', ' Card Game', ' Cards', ' Trading Cards']",Sci-fi collectable card game with NFTs,07/2021,07,2021
CyberKongz,0x57a204AA1042f6E66DD7730813f4024114d74f37,NFT,15,03/2021,0,0.0,0.0,"['Cartoon', ' Pixelated', ' Voxel', ' Animal', ' Ape', ' Gorilla', ' Cyber', ' Animated', ' Rare']","Welcome to an alternate reality, where evolution took a different route and weird apes roam the earth. Some appear normal. Some look weird. And some are just damn cool! Every CyberKong is unique and owns randomized items with different rarities. A few are super rare and even animated",03/2021,03,2021
CrypToadz,0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6,NFT,16,11/2021,0,0.0,0.0,"['Cartoon', ' Pixelated', ' Voxel', ' Animal', ' Toad', ' Frog', ' Uniswamp', ' Amphibian']","CrypToadz is a collection of 6,969 unique toad-themed profile pictures on the Ethereum blockchain",11/2021,11,2021
VeeFriends,0xa3aee8bce55beea1951ef834b99f3ac60d1abeeb,NFT,17,05/2021,0,0.0,2.0,"['Animal', ' Artwork', ' Drawing', 'Illustration', ' Gary Vee', ' Gary Vaynerchuk', ' Characters', ' Hand Drawn']",A Gary Vaynerchuk NFT project around meaningful intellectual property and an extraordinary community,05/2021,05,2021
Sorare,0x629A673A8242c2AC4B7B8C5D8735fbeac21A6205,NFT,18,?,0,0.0,3.0,"['Sports', ' Fantasy Football', ' Athlete', ' Game', ' Trading', ' Trading Cards', ' Soccer', ' Gaming', ' Fantasy Soccer']","Sorare is a fantasy football game where managers can trade official digital collectibles. The platform is growing fast, with a global audience collecting, buying, and selling their favorite players in the form of blockchain-backed NFTs",?,?,
PudgyPenguins,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,NFT,19,07/2021,0,0.0,0.0,"['Animal', ' Cartoon', ' Penguin', ' Exclusive', ' ']","Pudgy Penguins is a collection of 8,888 NFTs, waddling through Web3",07/2021,07,2021
0N1Force,0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D,NFT,20,08/2021,0,0.0,0.0,"['Cartoon', ' Hand Drawn', ' Characters', ' Side Profile Characters', ' Drawing', ' IMCMPLX', ' ON1VERSE']","The 0N1 Force are 7,777 generative side-profile characters with over 100 hand-drawn features fighting for their existence. Strength, spirit, and style are what youâ€™ll need to survive in The Ethereal Enclave",08/2021,08,2021
MekaVerse,0x9A534628B4062E123cE7Ee2222ec20B86e16Ca8F,NFT,21,10/2021,0,0.0,0.0,"['Mekas', ' Anime', ' Japanese', ' Gadians', ' Titans', ' Exclusive', ' Mekaverse']","The MekaVerse is a collection of 8,888 generative Mekas inspired by the Japanese Anime universe",10/2021,10,2021
NFTWorlds,0xBD4455dA5929D5639EE098ABFaa3241e9ae111Af,NFT,22,10/2021,0,1.0,1.0,"['Virtual Land', ' Parcel', ' Metaverse', ' Minecraft', ' Game', ' Multiplayer', ' Land', ' Decentralized']",NFT Worlds is the most capable & flexible metaverse platform.,10/2021,10,2021
Karafuru,0xd2F668a8461D6761115dAF8Aeb3cDf5F40C532C6,NFT,23,02/2022,0,0.0,0.0,"['Generative', ' Animal', ' Cartoon', ' Characters', ' Animated']","Karafuru is home to 5,555 generative arts where colors reign supreme. Leave the drab reality and enter the world of Karafuru by Museum of Toys",02/2022,02,2022
InvisibleFriends,0x59468516a8259058baD1cA5F8f4BFF190d30E066,NFT,24,02/2022,0,0.0,0.0,"['Animated', ' Cartoon', ' People', ' Character', ' Markus Magnusson']",Invisible Friends is a collection of 5000 animated invisible characters by Markus Magnusson.,02/2022,02,2022
AxieInfinity,0xF5b0A3eFB8e8E4c201e2A935F110eAaF3FFEcb8d,NFT,25,03/2018,0,2.0,0.0,"['Animal', ' Characters', ' Game', ' Video Game', ' Cartoon']","Axies are fierce creatures that love to battle, build, and hunt for treasure! Build up a collection and use them across an ever expanding universe of games",03/2018,03,2018
TheDogePound,0xF4ee95274741437636e748DdAc70818B4ED7d043,NFT,26,07/2021,0,0.0,0.0,"['Animal', ' Dog', ' Cartoon', ' Shiba Inu', ' Doge']","The Doge Pound NFT, also called ""OG Doge"" within the community, is the first NFT collection of The Doge Pound brand. We are a community of dog lovers committed to helping dogs across the globe, currently building the largest dog rescue shelter in East Africa",07/2021,07,2021
LivesOfAsuna,0xAf615B61448691fC3E4c61AE4F015d6e77b6CCa8,NFT,27,01/2022,0,0.0,0.0,"['Anime', ' Sci-fi', ' Fantasy', ' Cartoon', ' Hand Drawn', ' Drawing', ' Person', ' PFP']","Glimpse into 10,000 unique lives lived by Asuna through this collection of hand-drawn, anime-inspired NFTs by Zumi and Hagglefish",01/2022,01,2022
KaijuKingz,0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83,NFT,28,10/2021,0,0.0,0.0,"['Cartoon', ' Animal', ' Dinosaur', ' Animated', ' Pixelated', ' Voxel', ' Community']","3,333 Genesis Kaiju Kingz created by Augminted Labs to protect the metaverse. The community is all about growth and providing a place for the future of web3 to learn, build, and conquer. Join the Kingz and live forever as a legend. 6666 babies to accompany them",10/2021,10,2021
CryptoVoxels,0x79986aF15539de2db9A5086382daEdA917A9CF0C,NFT,29,05/2018,0,1.0,1.0,"['Virtual Land', ' Parcel', ' Metaverse', ' Property', ' Asset', ' Land Trading']","A virtual world on the Ethereum blockchain. Build, develop, and sell property on the blocks and streets of Voxels (previously Cryptovoxels)",05/2018,05,2018
mfers,0x79FCDEF22feeD20eDDacbB2587640e45491b757f,NFT,30,11/2021,0,0.0,0.0,"['Hand Drawn', ' Sartoshi', ' Stick Figure', ' Cartoon', ' Person']",mfers are generated entirely from hand drawings by sartoshi. this project is in the public domain; feel free to use mfers any way you want,11/2021,11,2021
CoolPets,0x86C10D10ECa1Fca9DAF87a279ABCcabe0063F247,NFT,9,04/2022,0,0.0,0.0,"['Animal', ' Cartoon', ' Pet', ' Egg', ' Cool Cats', ' Pets']","An NFT offering from the Cool Cats brand, Pets is a collection of 19,999 NFTs that are procedurally generated based on item interaction. All Pets start as an Egg and evolve into their final form, which represents one of four elements: Grass, Fire, Water, or Air",04/2022,04,2022
CoolmansUniverse,0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,NFT,31,12/2021,0,0.0,0.0,"['Animal', ' Cartoon', ' Coolman Coffeedan', ' Danny Casale']","Spesh is looking for his best friend throughout Coolman's Universe. To travel through this universe, Spesh uses a surfboard and a magical compass, and finds himself exploring worlds that he's never experienced",12/2021,12,2021
KillerGF,0x6bE69b2A9B153737887CfcdCa7781eD1511C7e36,NFT,32,01/2022,0,0.0,0.0,"['Portrait Art', ' Anime', ' Girlfriend', ' Woman', ' Women', ' Assassin']","Killer GF is a 7,777 generative portrait art collection by a former Riot Games Artist, Zeronis, with over 240 meticulously designed features that contrasts cute and aesthetically appealing girlfriends that also happen to be dangerous assassins",01/2022,01,2022
alienfrens,0x123b30E25973FeCd8354dd5f41Cc45A3065eF88C,NFT,33,12/2021,0,0.0,0.0,"['Cartoon', ' Alien', ' PFP', ' Metaverse', ' Community', ' Exclusive']","Alien Frens is a community driven collection of 10k randomly generated NFTs on the Ethereum blockchain. Our goal is to build the biggest group of frens in the Metaverse. 1 Alien Fren NFT that provides you not only an awesome PFP and a lifelong frenship with 10k other Frens, but a ticket to our IRL events, Invasions, Exclusive Merch, Comic Books, and more",12/2021,12,2021
3Landers,0xb4d06d46A8285F4EC79Fd294F78a881799d8cEd9,NFT,34,02/2022,0,0.0,0.0,"['Cartoon', ' Avatar', ' Community', ' Adventure', ' Collaboration']","3Landers is a collectible NFT project centered around community, adventure, and collaboration",02/2022,02,2022
SupDucks,0x3Fe1a4c1481c8351E91B64D5c398b159dE07cbc5,NFT,35,07/2021,0,0.0,0.0,"['Cartoon', ' Animal', ' Avatar', ' Duck', ' Exclusive', ' Community']","SupDucks are a 10,000 randomly generated collection that grants you access to the SupDucks Ecosystem.",07/2021,07,2021
Metroverse,0x0e9d6552b85BE180d941f1cA73Ae3E318D2D4F1F,NFT,36,01/2022,0,1.0,1.0,"['Virtual Land', ' Game', ' Parcel', ' Strategy Game', ' Land Trading', ' $MET', ' Token']",Metroverse is a land trading NFT strategy game on Ethereum.,01/2022,01,2022
WebbLand,0xA1D4657e0E6507D5a94d06DA93E94dC7C8c44b51,NFT,37,11/2021,0,1.0,4.0,"['Game', ' Pixelated', ' MMORPG', ' Virtual Land']",Worldwide Webb is an interoperable pixel art MMORPG metaverse game giving utility to popular NFT projects.,11/2021,11,2021
Hashmasks,0xC2C747E0F7004F9E8817Db2ca4997657a7746928,NFT,38,01/2021,0,0.0,2.0,"['Art', ' Fine Art', ' Unique', ' Characters']",Hashmasks are ancient traits and memories of the first travelers to Earth,01/2021,01,2021
CreatureWorld,0xc92cedDfb8dd984A89fb494c376f9A48b999aAFc,NFT,39,08/2021,0,0.0,0.0,"['Art', ' Creature', ' Unique', ' Danny Cole']","10,000 unique Creatures are here to guide you on this journey",08/2021,08,2021
PhantaBear,0x67D9417C9C3c250f61A83C7e8658daC487B56B09,NFT,40,01/2022,0,0.0,0.0,"['Cartoon', ' Animal', ' Bear', ' Fashion', ' Exclusive', ' Jay Chou']","Phanta Bear is a limited collection of 10,000 digital collectibles that live on the Ethereum blockchain",01/2022,01,2022
FLUF,0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d,NFT,41,08/2021,0,0.0,0.0,"['3D Avatar', ' Animal', ' Rabbit', ' Exclusive', ' Customize']","10,000 3D rabbit avatars, programmatically-generated from over 270 traits",08/2021,08,2021
CyberKongzVX,0x7EA3Cca10668B8346aeC0bf1844A49e995527c8B,NFT,42,08/2021,0,1.0,0.0,"['3D Avatar', ' Social', ' Animal', ' Gorilla', ' Ape', ' Voxel', ' Pixelated']",CyberKongz VX are unique and randomly generated 3D NFT Social Avatars for the Metaverse and upcoming interoperability with The Sandbox,08/2021,08,2021
TownStar,0xc36cF0cFcb5d905B8B513860dB0CFE63F6Cf9F5c,NFT,43,08/2021,0,1.0,5.0,"['Game', ' Farming', ' Blockchain Game', ' FarmVille', ' Gala Token']",From one of the founders of Zynga and some of the creative minds behind FarmVille and Words With Friends comes Town Sta,08/2021,08,2021
PrimeApePlanet,0x6632a9d63E142F17a668064D41A21193b49B41a0,NFT,44,05/2022,0,0.0,0.0,"['Animal', ' Ape', ' Hand Drawn', ' Kurtis Dawe', ' Primus Ethereum', ' Exclusive', ' Rewards']","Prime Ape Planet is a collection of 7,979 Primus Ethereum mammals created by Disney/Marvel artist Kurtis Dawe",05/2022,05,2022
LazyLions,0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0,NFT,45,08/2021,0,0.0,0.0,"['Animal', ' Cartoon', ' Lion', ' Community']",Lazy Lions is the NFT community for kings,08/2021,08,2021
